R/H,TEMPERATURE,RESISTANCE,,,,,,
57.1,24.88,1290.29,,,,,,
57.2,24.88,1290.29,,,,,,
57.2,24.88,1290.29,,,,,,
57.2,24.87,1290.29,,,,,,
57.2,24.87,1290.29,,,,,,
57.3,24.86,1290.29,,,,,,
57.3,24.86,1290.29,,,,,,
57.3,24.86,1290.28,,,,,,
57.3,24.85,1290.28,,,,,,
57.4,24.85,1290.28,,,,,,
57.4,24.84,1290.28,,,,,,
57.5,24.84,1290.28,,,,,,
57.5,24.84,1290.28,,,,,,
57.5,24.84,1290.28,,,,,,
57.6,24.84,1290.28,,,,,,
57.6,24.83,1290.28,,,,,,
57.6,24.83,1290.28,,,,,,
57.7,24.82,1290.28,,,,,,
57.7,24.81,1290.28,,,,,,
57.8,24.81,1290.28,,,,,,
57.8,24.81,1290.28,,,,,,
57.8,24.81,1290.28,,,,,,
57.8,24.8,1290.27,,,,,,
57.9,24.8,1290.27,,,,,,
57.9,24.8,1290.27,,,,,,
57.9,24.8,1290.27,,,,,,
57.9,24.8,1290.27,,,,,,
57.9,24.8,1290.27,,,,,,
57.9,24.8,1290.27,,,,,,
57.8,24.8,1290.27,,,,,,
57.8,24.79,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.79,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.77,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.27,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.8,24.78,1290.26,,,,,,
57.7,24.78,1290.26,,,,,,
57.7,24.78,1290.26,,,,,,
57.7,24.78,1290.26,,,,,,
57.6,24.79,1290.26,,,,,,
57.8,24.79,1290.26,,,,,,
57.7,24.79,1290.26,,,,,,
57.7,24.79,1290.26,,,,,,
57.6,24.78,1290.26,,,,,,
57.7,24.78,1290.26,,,,,,
57.7,24.78,1290.26,,,,,,
57.6,24.78,1290.26,,,,,,
57.6,24.78,1290.26,,,,,,
57.6,24.79,1290.26,,,,,,
57.6,24.79,1290.26,,,,,,
57.6,24.79,1290.26,,,,,,
57.5,24.79,1290.26,,,,,,
57.4,24.79,1290.26,,,,,,
57.4,24.8,1290.26,,,,,,
57.5,24.8,1290.26,,,,,,
57.4,24.8,1290.26,,,,,,
57.4,24.79,1290.26,,,,,,
57.4,24.79,1290.26,,,,,,
57.3,24.8,1290.26,,,,,,
57.3,24.8,1290.26,,,,,,
57.5,24.81,1290.26,,,,,,
57.3,24.8,1290.25,,,,,,
57.2,24.79,1290.26,,,,,,
57.3,24.8,1290.25,,,,,,
57.2,24.8,1290.26,,,,,,
57.2,24.8,1290.25,,,,,,
57.2,24.8,1290.26,,,,,,
57.3,24.8,1290.26,,,,,,
57.2,24.79,1290.26,,,,,,
57.2,24.79,1290.25,,,,,,
57.2,24.8,1290.25,,,,,,
57.2,24.8,1290.26,,,,,,
57.1,24.79,1290.25,,,,,,
57.1,24.79,1290.26,,,,,,
57.2,24.8,1290.25,,,,,,
