R/H,TEMPERATURE,RESISTANCE,,,,,,
55.3,24.95,1290.28,,,,,,
55.2,24.95,1290.28,,,,,,
55.1,24.94,1290.28,,,,,,
55.1,24.94,1290.28,,,,,,
55,24.94,1290.28,,,,,,
55,24.94,1290.28,,,,,,
55,24.93,1290.28,,,,,,
55,24.93,1290.28,,,,,,
55,24.93,1290.28,,,,,,
55,24.93,1290.28,,,,,,
55,24.92,1290.28,,,,,,
55,24.92,1290.28,,,,,,
54.9,24.92,1290.28,,,,,,
55,24.92,1290.28,,,,,,
55,24.91,1290.28,,,,,,
55,24.91,1290.28,,,,,,
55,24.9,1290.28,,,,,,
55,24.91,1290.28,,,,,,
55,24.9,1290.28,,,,,,
55,24.9,1290.28,,,,,,
55,24.89,1290.28,,,,,,
55,24.89,1290.28,,,,,,
55,24.88,1290.28,,,,,,
55.1,24.88,1290.28,,,,,,
55.1,24.87,1290.28,,,,,,
55.1,24.87,1290.28,,,,,,
55.1,24.87,1290.28,,,,,,
55.1,24.86,1290.28,,,,,,
55.1,24.86,1290.28,,,,,,
55.2,24.86,1290.28,,,,,,
55.2,24.85,1290.28,,,,,,
55.2,24.84,1290.28,,,,,,
55.2,24.84,1290.28,,,,,,
55.3,24.84,1290.28,,,,,,
55.3,24.83,1290.28,,,,,,
55.3,24.83,1290.27,,,,,,
55.3,24.83,1290.27,,,,,,
55.3,24.82,1290.27,,,,,,
55.3,24.82,1290.28,,,,,,
55.3,24.81,1290.27,,,,,,
55.3,24.81,1290.27,,,,,,
55.4,24.8,1290.27,,,,,,
55.4,24.79,1290.27,,,,,,
55.4,24.79,1290.27,,,,,,
55.4,24.8,1290.27,,,,,,
55.5,24.79,1290.27,,,,,,
55.5,24.79,1290.27,,,,,,
55.5,24.78,1290.27,,,,,,
55.5,24.78,1290.27,,,,,,
55.5,24.78,1290.27,,,,,,
55.5,24.78,1290.27,,,,,,
55.5,24.77,1290.27,,,,,,
55.6,24.78,1290.27,,,,,,
55.6,24.78,1290.27,,,,,,
55.6,24.77,1290.27,,,,,,
55.6,24.77,1290.27,,,,,,
55.6,24.77,1290.27,,,,,,
55.6,24.76,1290.27,,,,,,
55.6,24.76,1290.26,,,,,,
55.7,24.75,1290.27,,,,,,
55.7,24.75,1290.26,,,,,,
55.7,24.75,1290.26,,,,,,
55.7,24.75,1290.26,,,,,,
55.7,24.75,1290.26,,,,,,
55.7,24.75,1290.26,,,,,,
55.7,24.75,1290.26,,,,,,
55.8,24.75,1290.26,,,,,,
55.8,24.75,1290.26,,,,,,
55.8,24.74,1290.26,,,,,,
55.8,24.74,1290.26,,,,,,
55.8,24.74,1290.26,,,,,,
55.8,24.74,1290.26,,,,,,
55.8,24.73,1290.26,,,,,,
55.8,24.73,1290.26,,,,,,
55.9,24.73,1290.26,,,,,,
55.8,24.73,1290.26,,,,,,
55.9,24.72,1290.26,,,,,,
55.9,24.72,1290.26,,,,,,
55.9,24.72,1290.26,,,,,,
55.9,24.72,1290.26,,,,,,
55.9,24.72,1290.26,,,,,,
56,24.72,1290.26,,,,,,
55.9,24.72,1290.25,,,,,,
55.9,24.72,1290.26,,,,,,
56,24.71,1290.26,,,,,,
56,24.71,1290.26,,,,,,
56,24.71,1290.26,,,,,,
56,24.7,1290.26,,,,,,
56,24.7,1290.26,,,,,,
56.1,24.69,1290.25,,,,,,
56.1,24.69,1290.26,,,,,,
56.1,24.7,1290.25,,,,,,
56.1,24.69,1290.25,,,,,,
56.1,24.69,1290.25,,,,,,
56.1,24.69,1290.25,,,,,,
56.2,24.69,1290.25,,,,,,
56.2,24.69,1290.25,,,,,,
56.2,24.68,1290.25,,,,,,
56.2,24.68,1290.25,,,,,,
56.2,24.67,1290.25,,,,,,
56.2,24.67,1290.25,,,,,,
56.3,24.67,1290.25,,,,,,
56.3,24.66,1290.25,,,,,,
56.3,24.67,1290.25,,,,,,
56.3,24.67,1290.25,,,,,,
56.3,24.67,1290.25,,,,,,
56.3,24.67,1290.25,,,,,,
56.3,24.67,1290.25,,,,,,
56.3,24.66,1290.25,,,,,,
56.3,24.66,1290.25,,,,,,
56.4,24.67,1290.25,,,,,,
56.3,24.66,1290.25,,,,,,
56.4,24.66,1290.25,,,,,,
56.4,24.66,1290.25,,,,,,
56.4,24.65,1290.25,,,,,,
56.4,24.65,1290.25,,,,,,
56.4,24.65,1290.25,,,,,,
56.5,24.65,1290.24,,,,,,
56.4,24.65,1290.25,,,,,,
56.5,24.65,1290.25,,,,,,
56.5,24.65,1290.25,,,,,,
56.5,24.65,1290.24,,,,,,
56.5,24.64,1290.25,,,,,,
56.5,24.64,1290.25,,,,,,
56.5,24.64,1290.24,,,,,,
56.5,24.64,1290.24,,,,,,
56.5,24.64,1290.25,,,,,,
56.5,24.64,1290.24,,,,,,
56.5,24.64,1290.25,,,,,,
56.6,24.64,1290.24,,,,,,
56.6,24.64,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.7,24.63,1290.24,,,,,,
56.6,24.63,1290.24,,,,,,
56.6,24.62,1290.24,,,,,,
56.7,24.62,1290.24,,,,,,
56.7,24.62,1290.24,,,,,,
56.7,24.62,1290.24,,,,,,
56.7,24.61,1290.24,,,,,,
56.7,24.61,1290.24,,,,,,
56.7,24.62,1290.24,,,,,,
56.7,24.62,1290.24,,,,,,
56.7,24.62,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.7,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.62,1290.24,,,,,,
56.8,24.62,1290.24,,,,,,
56.8,24.62,1290.24,,,,,,
56.8,24.62,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.8,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.6,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.61,1290.24,,,,,,
56.9,24.6,1290.24,,,,,,
57,24.6,1290.24,,,,,,
57,24.6,1290.24,,,,,,
57,24.6,1290.24,,,,,,
57,24.6,1290.24,,,,,,
57,24.59,1290.24,,,,,,
57,24.6,1290.24,,,,,,
57,24.59,1290.24,,,,,,
57,24.59,1290.23,,,,,,
57,24.6,1290.24,,,,,,
57.2,24.61,1290.24,,,,,,
57.1,24.61,1290.24,,,,,,
57.1,24.61,1290.24,,,,,,
57.1,24.61,1290.24,,,,,,
57.3,24.62,1290.24,,,,,,
57.3,24.63,1290.24,,,,,,
57.3,24.63,1290.24,,,,,,
57.3,24.63,1290.24,,,,,,
57.2,24.63,1290.24,,,,,,
57.3,24.63,1290.24,,,,,,
57.3,24.64,1290.24,,,,,,
57.3,24.64,1290.24,,,,,,
57.6,24.66,1290.24,,,,,,
57.7,24.67,1290.24,,,,,,
57.8,24.67,1290.24,,,,,,
57.9,24.68,1290.24,,,,,,
57.8,24.7,1290.24,,,,,,
57.8,24.7,1290.24,,,,,,
58,24.72,1290.24,,,,,,
58.2,24.73,1290.24,,,,,,
58.2,24.73,1290.24,,,,,,
58.1,24.73,1290.24,,,,,,
58,24.72,1290.24,,,,,,
58.2,24.73,1290.24,,,,,,
58.1,24.74,1290.24,,,,,,
58.2,24.74,1290.24,,,,,,
58.4,24.76,1290.24,,,,,,
58.5,24.78,1290.24,,,,,,
58.4,24.78,1290.24,,,,,,
58.4,24.79,1290.24,,,,,,
58.4,24.8,1290.24,,,,,,
58.5,24.81,1290.24,,,,,,
58.6,24.81,1290.25,,,,,,
58.8,24.83,1290.24,,,,,,
58.8,24.85,1290.24,,,,,,
58.8,24.86,1290.25,,,,,,
59.1,24.91,1290.25,,,,,,
58.9,24.92,1290.25,,,,,,
58.8,24.91,1290.25,,,,,,
58.7,24.89,1290.25,,,,,,
58.7,24.88,1290.25,,,,,,
58.8,24.88,1290.25,,,,,,
58.9,24.88,1290.25,,,,,,
59,24.89,1290.25,,,,,,
59,24.9,1290.25,,,,,,
58.8,24.9,1290.25,,,,,,
59,24.93,1290.25,,,,,,
58.9,24.93,1290.25,,,,,,
58.7,24.93,1290.25,,,,,,
58.6,24.93,1290.25,,,,,,
58.6,24.92,1290.25,,,,,,
58.7,24.93,1290.26,,,,,,
58.6,24.93,1290.25,,,,,,
58.5,24.92,1290.26,,,,,,
58.4,24.91,1290.26,,,,,,
58.3,24.9,1290.26,,,,,,
58.5,24.89,1290.26,,,,,,
58.6,24.89,1290.26,,,,,,
58.6,24.9,1290.26,,,,,,
58.6,24.9,1290.26,,,,,,
58.5,24.89,1290.26,,,,,,
58.5,24.89,1290.26,,,,,,
58.4,24.88,1290.26,,,,,,
58.6,24.89,1290.26,,,,,,
59.4,24.97,1290.26,,,,,,
59.3,25.07,1290.26,,,,,,
58.8,25.11,1290.26,,,,,,
58.6,25.1,1290.26,,,,,,
58.4,25.07,1290.26,,,,,,
58.4,25.05,1290.27,,,,,,
58.6,25.04,1290.27,,,,,,
58.8,25.07,1290.27,,,,,,
58.7,25.1,1290.27,,,,,,
58.7,25.12,1290.27,,,,,,
58.9,25.15,1290.27,,,,,,
